Franchise_ID,Title_ID
12,1701
26,1704
23,1705
53,1706
5,1707
7,1709
85,1710
53,1714
8,1718
53,1719
31,1723
51,1724
70,1730
85,1731
43,1736
82,1741
92,1742
93,1744
71,1748
29,1749
32,1751
48,1752
11,1753
5,1754
54,1755
71,1759
24,1762
55,1765
43,1770
25,1775
26,1776
30,1778
79,1779
5,1783
5,1785
88,1793
15,1794
43,1796
27,1797
34,1799
91,1801
42,1802
40,1804
82,1805
82,1807
73,1810
57,1813
99,1814
66,1815
3,1816
19,1817
42,1819
5,1822
49,1824
99,1826
60,1828
38,1832
68,1837
96,1838
68,1840
68,1846
36,1848
6,1850
42,1852
82,1856
54,1857
90,1867
22,1869
96,1874
46,1878
17,1879
85,1881
1,1882
43,1889
88,1890
96,1891
22,1901
7,1906
99,1909
65,1910
39,1912
26,1916
61,1917
61,1918
72,1919
14,1920
45,1923
63,1924
44,1926
57,1929
42,1936
51,1939
37,1940
91,1942
19,1947
62,1948
31,1951
66,1953
4,1956
92,1957
73,1958
93,1959
7,1961
16,1964
1,1965
32,1967
45,1968
79,1970
64,1971
20,1975
42,1978
93,1979
44,1980
46,1983
56,1986
9,1987
21,1988
40,1991
30,1992
24,1993
79,1998
